"","Cluster","moduleKDS","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","DNARF","DNARF","hsa05202","Transcriptional misregulation in cancer","5/12","186/7911",4.71696580502141e-06,0.000264150085081199,0.000223435222343119,"8091/6257/861/4286/6688",5
"2","DNARF","DNARF","hsa04659","Th17 cell differentiation","3/12","107/7911",0.000484302226331081,0.0135604623372703,0.0114703158867888,"6772/6257/861",3
"3","DNARF","DNARF","hsa04380","Osteoclast differentiation","3/12","128/7911",0.000818079399688629,0.0152708154608544,0.0129170431529783,"6772/4286/6688",3
"4","DNARF","DNARF","hsa03460","Fanconi anemia pathway","2/12","54/7911",0.00288913119398498,0.0404478367157898,0.0342133957182432,"3280/672",2
"5","DNARF","DNARF","hsa05221","Acute myeloid leukemia","2/12","66/7911",0.00428709581436849,0.0480154731209271,0.0406145919255962,"861/6688",2
